export_type,holdco_field,erp_field,notes
journal_entries,entry_id,Name,
journal_entries,subsidiary_id,Company,
journal_entries,fiscal_period_id,Period ID,
journal_entries,fiscal_period_name,Period,
journal_entries,reference,Ref,
journal_entries,memo,Narration,
journal_entries,status,State,
journal_entries,posted_at,Posted Date,
journal_entries,created_at,Date,
journal_entries,line_id,Line ID,
journal_entries,account_id,Line/Account ID,
journal_entries,account_code,Line/Account,
journal_entries,account_name,Line/Account Name,
journal_entries,cost_center_id,Line/Analytic Account ID,
journal_entries,cost_center_code,Line/Analytic Account,
journal_entries,line_description,Line/Label,
journal_entries,debit,Line/Debit,
journal_entries,credit,Line/Credit,
invoices,invoice_id,Name,
invoices,order_id,Invoice Origin,
invoices,invoice_type,Move Type,
invoices,status,State,
invoices,seller_company_id,Company,
invoices,buyer_company_id,Partner,
invoices,period,Accounting Period,
invoices,issue_date,Invoice Date,
invoices,due_date,Due Date,
invoices,subtotal,Amount Untaxed,
invoices,vat_amount,Amount Tax,
invoices,total_amount,Amount Total,
invoices,is_credit_note,Is Credit Note,
invoices,related_invoice_id,Reversal Of,
invoices,created_at,Created On,
credit_notes,invoice_id,Name,
credit_notes,order_id,Invoice Origin,
credit_notes,invoice_type,Move Type,
credit_notes,status,State,
credit_notes,seller_company_id,Company,
credit_notes,buyer_company_id,Partner,
credit_notes,period,Accounting Period,
credit_notes,issue_date,Invoice Date,
credit_notes,due_date,Due Date,
credit_notes,subtotal,Amount Untaxed,
credit_notes,vat_amount,Amount Tax,
credit_notes,total_amount,Amount Total,
credit_notes,is_credit_note,Is Credit Note,
credit_notes,related_invoice_id,Reversal Of,
credit_notes,created_at,Created On,
intercompany_invoices,invoice_id,Name,
intercompany_invoices,order_id,Invoice Origin,
intercompany_invoices,invoice_type,Move Type,
intercompany_invoices,status,State,
intercompany_invoices,seller_company_id,Company,
intercompany_invoices,buyer_company_id,Partner,
intercompany_invoices,period,Accounting Period,
intercompany_invoices,issue_date,Invoice Date,
intercompany_invoices,due_date,Due Date,
intercompany_invoices,subtotal,Amount Untaxed,
intercompany_invoices,vat_amount,Amount Tax,
intercompany_invoices,total_amount,Amount Total,
intercompany_invoices,is_credit_note,Is Credit Note,
intercompany_invoices,related_invoice_id,Reversal Of,
intercompany_invoices,created_at,Created On,
payments,payment_id,Payment Reference,
payments,invoice_id,Invoice,
payments,payer_company_id,Partner,
payments,payee_company_id,Company,
payments,payment_date,Payment Date,
payments,amount_paid,Amount,
payments,wht_withheld_amount,Withholding Tax,
payments,reference,Memo,
payments,notes,Notes,
payments,created_at,Created On,
