export_type,holdco_field,erp_field,notes
journal_entries,entry_id,Journal Number,
journal_entries,subsidiary_id,Company,
journal_entries,fiscal_period_id,Period ID,
journal_entries,fiscal_period_name,Period,
journal_entries,reference,Reference,
journal_entries,memo,Details,
journal_entries,status,Status,
journal_entries,posted_at,Posted Date,
journal_entries,created_at,Entry Date,
journal_entries,line_id,Line ID,
journal_entries,account_id,Account ID,
journal_entries,account_code,Account Reference,
journal_entries,account_name,Account Name,
journal_entries,cost_center_id,Cost Center ID,
journal_entries,cost_center_code,Cost Center,
journal_entries,line_description,Line Description,
journal_entries,debit,Debit,
journal_entries,credit,Credit,
invoices,invoice_id,Invoice Number,
invoices,order_id,Order Number,
invoices,invoice_type,Invoice Type,
invoices,status,Status,
invoices,seller_company_id,Seller Company,
invoices,buyer_company_id,Customer ID,
invoices,period,Period,
invoices,issue_date,Invoice Date,
invoices,due_date,Due Date,
invoices,subtotal,Subtotal,
invoices,vat_amount,Tax Amount,
invoices,total_amount,Total Amount,
invoices,is_credit_note,Is Credit Note,
invoices,related_invoice_id,Related Invoice,
invoices,created_at,Created Date,
credit_notes,invoice_id,Credit Note Number,
credit_notes,order_id,Order Number,
credit_notes,invoice_type,Invoice Type,
credit_notes,status,Status,
credit_notes,seller_company_id,Seller Company,
credit_notes,buyer_company_id,Customer ID,
credit_notes,period,Period,
credit_notes,issue_date,Credit Note Date,
credit_notes,due_date,Due Date,
credit_notes,subtotal,Subtotal,
credit_notes,vat_amount,Tax Amount,
credit_notes,total_amount,Total Amount,
credit_notes,is_credit_note,Is Credit Note,
credit_notes,related_invoice_id,Related Invoice,
credit_notes,created_at,Created Date,
intercompany_invoices,invoice_id,Intercompany Invoice Number,
intercompany_invoices,order_id,Order Number,
intercompany_invoices,invoice_type,Invoice Type,
intercompany_invoices,status,Status,
intercompany_invoices,seller_company_id,Seller Company,
intercompany_invoices,buyer_company_id,Buyer Company,
intercompany_invoices,period,Period,
intercompany_invoices,issue_date,Invoice Date,
intercompany_invoices,due_date,Due Date,
intercompany_invoices,subtotal,Subtotal,
intercompany_invoices,vat_amount,Tax Amount,
intercompany_invoices,total_amount,Total Amount,
intercompany_invoices,is_credit_note,Is Credit Note,
intercompany_invoices,related_invoice_id,Related Invoice,
intercompany_invoices,created_at,Created Date,
payments,payment_id,Receipt Number,
payments,invoice_id,Invoice Number,
payments,payer_company_id,Customer ID,
payments,payee_company_id,Company,
payments,payment_date,Receipt Date,
payments,amount_paid,Amount,
payments,wht_withheld_amount,Withholding Tax,
payments,reference,Reference,
payments,notes,Notes,
payments,created_at,Created Date,
