Account Code,Account Name,Account Type
1000,Bank - Digital Operations,Asset
1100,Payment Gateway Receivables,Asset
2000,Accounts Payable,Liability
2100,VAT Payable - FIRS,Liability
2300,Withholding Tax Payable,Liability
2500,Management Fee Payable - Group,Liability
3000,Share Capital,Equity
3100,Retained Earnings,Equity
4200,Online Sales Revenue,Revenue
4210,Platform Service Fees,Revenue
5000,Cost of Goods Sold - Online,COGS
6200,Payment Gateway Charges,Expense
6210,Hosting & Cloud Services,Expense
6220,Digital Marketing,Expense
7000,Company Income Tax Provision,Expense
7010,Education Tax Provision,Expense
