Account Code,Account Name,Account Type
1000,Bank - Wholesale Operations,Asset
1110,Accounts Receivable - Resellers,Asset
1210,Inventory - Wholesale,Asset
2000,Accounts Payable,Liability
2100,VAT Payable - FIRS,Liability
2500,Management Fee Payable - Group,Liability
2600,Logistics Charges Payable,Liability
3000,Share Capital,Equity
3100,Retained Earnings,Equity
4010,Wholesale Sales - VAT Inclusive,Revenue
4020,Sales Discounts & Rebates,Revenue
5000,Cost of Goods Sold - Wholesale,COGS
6100,Bad Debt Provision,Expense
6110,Sales Commissions,Expense
7000,Company Income Tax Provision,Expense
7010,Education Tax Provision,Expense
