Account Code,Account Name,Account Type
1000,Cash on Hand,Asset
1010,Bank - Retail Operations,Asset
1020,Bank - VAT Collections,Asset
1200,Inventory - Retail Stores,Asset
2000,Accounts Payable,Liability
2100,VAT Payable - FIRS,Liability
2200,PAYE & Payroll Liabilities,Liability
2500,Management Fee Payable - Group,Liability
2600,Logistics Charges Payable,Liability
3000,Share Capital,Equity
3100,Retained Earnings,Equity
4000,Retail Sales - VAT Inclusive,Revenue
4100,Sales Returns,Revenue
5000,Cost of Goods Sold - Retail,COGS
5100,Inventory Shrinkage,COGS
6000,Store Rent,Expense
6120,Store Staff Salaries,Expense
6020,Utilities,Expense
6130,POS Charges,Expense
6040,Local Delivery Expense,Expense
6050,Repairs & Maintenance,Expense
6060,Marketing,Expense
7000,Company Income Tax Provision,Expense
7010,Education Tax Provision,Expense
